Nombre del producto,Nombre de la variante,Categoría,SKU,Unidades,Moneda,Importe,Precio de coste,Beneficio,Margen
Sta Sofia 250,,Granel,,2,EUR,"31,00","10,23","5,16","20,14 %"
Strawberry Matcha Latte,,Especials,,13,EUR,"71,50","1,78","41,86","64,4 %"
Strawberry Matcha Latte,,Begudes,,1,EUR,"5,50",,,
Suc Linda,,Begudes Envasades,,18,EUR,"48,60","1,35","19,81","44,91 %"
Suc Poma Cal Valls,,Begudes Envasades,,23,EUR,"57,50","0,70","36,14","69,18 %"
Suc Raïm-Pressec Cal Valls,,,,1,EUR,"-2,50",,,
Suc Raïm-Pressec Cal Valls,,Begudes Envasades,,14,EUR,"35,00","0,84","20,03","63,007 %"
Suc Taronja,,Begudes,,207,EUR,"658,00","1,00","391,26","65,399 %"
Suc Taronja,M,Begudes,,8,EUR,"24,00",,,
Sunrise,,Begudes,,39,EUR,"156,00",,,
Tallat,,Cafes,,201,EUR,"444,30","0,50","303,39","75,116 %"
Tallat,,,,1,EUR,"-2,20",,,
Tallat,Decaf,Cafes,,27,EUR,"59,40","0,80","32,40",60 %
Tallat,Estándar,Cafes,,348,EUR,"767,10","0,40","558,15","80,038 %"
Tallat,Estándar,,,1,EUR,"-2,20",,,
Te,,Te,,33,EUR,"98,50",,,
TOTE BAG Tour,,MERCH,,5,EUR,"60,00","6,00","19,60","39,516 %"
Tònica,,Begudes Envasades,,5,EUR,"12,50",,,
Tònica Schweppes,,Begudes Envasades,,4,EUR,"10,00","0,75","6,08","66,96 %"
V60,,Filtrats,,86,EUR,"429,00","0,95","307,68","79,017 %"
V60,Estàndard,Filtrats,,12,EUR,"60,00",,,
V60,Extra,Filtrats,,3,EUR,"20,00",,,
Vermut,,Vi,,2,EUR,"7,80",,,
Vichy Catalan,,Begudes Envasades,,71,EUR,"183,50","0,82","108,44","65,066 %"
Xocolata,,Cafes,,43,EUR,"117,50",,,
ZTAFF ABOVE 3€,,STAFF,,6,EUR,"15,00",,,
ZTAFF OATLY UNITAT,,STAFF,,4,EUR,"9,20","2,09","0,00",0 %
ZTAFF UNDER 3€,,STAFF,,7,EUR,"10,50",,,
